"T","method","critical_value","nominal","implied_sqrt_lambda","Nsim","theoretical"
250,"Conventional OLS",4.0288536358869,1.95996398454005,2.05557534100932,2000,4.18329763130129
250,"HAC",2.49814717968439,1.95996398454005,1.27458830845335,2000,1.95996398454005
1000,"Conventional OLS",4.15676772470556,1.95996398454005,2.12083883045485,2000,4.18329763130129
1000,"HAC",2.2091065171599,1.95996398454005,1.12711587283494,2000,1.95996398454005
