N,PercentSignificant,MeanBeta,SDBeta
50,67.9,-1.0687331692619234e-4,0.6372290117040659
100,74.5,-0.010707373607724353,0.6341743376827623
500,89.5,-0.019458471817048826,0.6215306036207919
1000,91.9,-0.00988314453975321,0.6169274166474225
10000,97.2,0.04065443566720374,0.6283455035537867
100000,98.8,0.023088307757011726,0.5956774159831417
500000,99.9,0.009732210330779015,0.6488179847249671
