"n","bias_1step","bias_2step","var_1step","var_2step","rmse_1step","rmse_2step","coverage_1step","coverage_2step","J_rejection"
50,-0.00285494022490074,-0.00436766877960704,0.0261611980893025,0.0230192299182988,0.161753258184719,0.151768582397292,0.9182,0.9144,0.0534
100,-0.000690484175428496,-0.00125666559067361,0.0127063437222385,0.0107407166467767,0.1127132610738,0.103634683923164,0.9326,0.9274,0.0496
250,0.000747979339371874,0.000737266804721415,0.00507436880676797,0.00425342133122811,0.0712314074415124,0.065215904573219,0.9414,0.9378,0.052
500,-0.000831544306284515,-0.000940852709504947,0.00246418911958286,0.00208373480366652,0.0496426001302536,0.0456530750391118,0.9496,0.9472,0.0422
1000,-0.000347633989762341,-0.000563184716604104,0.00122007685481605,0.00101331505342278,0.0349278354444693,0.0318344085454263,0.9506,0.952,0.0504
2500,0.000212696018959679,3.11955447180878e-05,0.000498908977834625,0.000418231345670225,0.0223350494880925,0.020448683883397,0.9512,0.9496,0.0522
5000,-5.18070304817986e-05,-6.33409031609578e-05,0.000253519488100274,0.000214601834786746,0.0159207872974631,0.014647966633284,0.949,0.9462,0.048
10000,0.000203001809668812,0.000153593575105138,0.000131322229846817,0.000107961139030026,0.0114602432406811,0.0103905311600771,0.9452,0.9476,0.0484
