"n","z","panel"
50,-0.516051157763883,"n = 50"
50,-1.00273284269371,"n = 50"
50,0.864147469248774,"n = 50"
50,-0.293944769702958,"n = 50"
50,-0.82983923354226,"n = 50"
50,2.07039037162309,"n = 50"
50,1.81237717474515,"n = 50"
50,2.13220428298156,"n = 50"
50,0.630804179908735,"n = 50"
50,0.460643293976477,"n = 50"
50,2.16612919859852,"n = 50"
50,-0.477675256616297,"n = 50"
50,0.807662677129394,"n = 50"
50,-1.35094454575043,"n = 50"
50,0.156145396609172,"n = 50"
50,0.73282559567832,"n = 50"
50,1.480202309954,"n = 50"
50,0.0296243018274992,"n = 50"
50,-0.227890739837424,"n = 50"
50,0.666646770349543,"n = 50"
50,-0.637664587561107,"n = 50"
50,0.576032814827408,"n = 50"
50,1.69846758044256,"n = 50"
50,0.612111109865349,"n = 50"
50,-0.71296693947465,"n = 50"
50,0.609716515954161,"n = 50"
50,-1.56541607069497,"n = 50"
50,-0.0161340482494635,"n = 50"
50,1.21941783363356,"n = 50"
50,1.06151401800516,"n = 50"
50,0.282233289376321,"n = 50"
50,-0.76037638077744,"n = 50"
50,0.517615881134331,"n = 50"
50,0.299660501060286,"n = 50"
50,0.269968923414917,"n = 50"
50,-0.132103104210218,"n = 50"
50,-0.633619200752171,"n = 50"
50,0.38359142399425,"n = 50"
50,0.161398469243691,"n = 50"
50,-2.35690079388265,"n = 50"
50,-0.620610453691543,"n = 50"
50,1.02372146289632,"n = 50"
50,0.799553077372803,"n = 50"
50,0.495428727559171,"n = 50"
50,-0.392988925110354,"n = 50"
50,0.281388337107602,"n = 50"
50,-1.13210678686381,"n = 50"
50,0.671821609823716,"n = 50"
50,-0.391073839734553,"n = 50"
50,-0.440018871384844,"n = 50"
50,0.876023119333207,"n = 50"
50,0.0547170707590611,"n = 50"
50,1.02632891658176,"n = 50"
50,-0.100444982150253,"n = 50"
50,-0.515449084595656,"n = 50"
50,-0.510177076936925,"n = 50"
50,2.11563022612013,"n = 50"
50,1.0134906731077,"n = 50"
50,-0.246584124722672,"n = 50"
50,0.688255542330094,"n = 50"
50,0.370762509017258,"n = 50"
50,1.0711774665343,"n = 50"
50,1.03449569546245,"n = 50"
50,-0.554819626773766,"n = 50"
50,0.687125847246676,"n = 50"
50,-1.09300531040965,"n = 50"
50,-1.96295041481253,"n = 50"
50,-0.212738112740724,"n = 50"
50,-0.423759509965605,"n = 50"
50,-0.35118883299401,"n = 50"
50,-0.197243767830474,"n = 50"
50,0.12791418595297,"n = 50"
50,-1.2447223197298,"n = 50"
50,1.42457053702973,"n = 50"
50,1.59591743641049,"n = 50"
50,-0.628111664525064,"n = 50"
50,1.60525139250134,"n = 50"
50,0.766831366107771,"n = 50"
50,-1.80342519703479,"n = 50"
50,0.74562810353073,"n = 50"
50,-0.865931182129912,"n = 50"
50,1.3276812170181,"n = 50"
50,0.0498203433291536,"n = 50"
50,2.02545096976159,"n = 50"
50,-0.409563869521928,"n = 50"
50,1.51167640096607,"n = 50"
50,-1.02281321696903,"n = 50"
50,-0.583478212191411,"n = 50"
50,0.747836520921817,"n = 50"
50,0.33335706211348,"n = 50"
50,0.214038074227765,"n = 50"
50,1.5221490724883,"n = 50"
50,0.358363345227735,"n = 50"
50,-1.07985908389773,"n = 50"
50,0.311549738820085,"n = 50"
50,1.63913242731581,"n = 50"
50,-0.629224637391357,"n = 50"
50,1.11986474217337,"n = 50"
50,-0.831269013128727,"n = 50"
50,-1.46380532034141,"n = 50"
50,0.992685555096003,"n = 50"
50,-0.630080976242174,"n = 50"
50,1.9169959112866,"n = 50"
50,1.99186437647367,"n = 50"
50,1.5091353351642,"n = 50"
50,0.730961806524695,"n = 50"
50,-1.92580585308521,"n = 50"
50,1.44880391301498,"n = 50"
50,-1.18155895553462,"n = 50"
50,-0.997662612912249,"n = 50"
50,0.324245088859541,"n = 50"
50,0.598929448418191,"n = 50"
50,0.724029529419945,"n = 50"
50,-1.45635198740496,"n = 50"
50,-0.464325406918587,"n = 50"
50,1.06011494416523,"n = 50"
50,1.41991884324842,"n = 50"
50,-0.881885782716799,"n = 50"
50,0.971277276912862,"n = 50"
50,1.66575125178753,"n = 50"
50,-0.416703699914391,"n = 50"
50,2.04564218919483,"n = 50"
50,-1.07052762041979,"n = 50"
50,-0.69437805028336,"n = 50"
50,0.117524671559624,"n = 50"
50,-0.882026625933665,"n = 50"
50,-0.908678013164385,"n = 50"
50,-0.724052883037671,"n = 50"
50,0.037693936921761,"n = 50"
50,-2.09584994003197,"n = 50"
50,0.627417346412459,"n = 50"
50,-1.43038727217063,"n = 50"
50,2.34397252767651,"n = 50"
50,-1.83200630575991,"n = 50"
50,0.6420460593719,"n = 50"
50,-0.609253861527063,"n = 50"
50,0.55428340649266,"n = 50"
50,1.48862501548302,"n = 50"
50,1.52101293773151,"n = 50"
50,0.402769053091152,"n = 50"
50,-1.50925367285452,"n = 50"
50,-0.875586276687055,"n = 50"
50,-0.430198738889669,"n = 50"
50,0.824157757665037,"n = 50"
50,-0.905575196522541,"n = 50"
50,-0.447500295839952,"n = 50"
50,-0.218735115588015,"n = 50"
50,-1.27481453138349,"n = 50"
50,-0.319311041179446,"n = 50"
50,-0.386175062984178,"n = 50"
50,-1.57005794983116,"n = 50"
50,-1.42936086658145,"n = 50"
50,-0.854685704412806,"n = 50"
50,1.92051763886202,"n = 50"
50,-0.243051095005496,"n = 50"
50,-0.985568135716605,"n = 50"
50,-0.105633080959935,"n = 50"
50,-0.213603865974127,"n = 50"
50,0.356526953910576,"n = 50"
50,-0.601651635104671,"n = 50"
50,-0.316338350671052,"n = 50"
50,-0.38535705766555,"n = 50"
50,-0.812883569281029,"n = 50"
50,0.440459870649833,"n = 50"
50,-2.07004311400658,"n = 50"
50,-1.36396369165333,"n = 50"
50,1.97325096351619,"n = 50"
50,-2.28527794337,"n = 50"
50,0.97919267214712,"n = 50"
50,0.84630897555247,"n = 50"
50,0.966280578295721,"n = 50"
50,0.921892767846157,"n = 50"
50,1.75407433140389,"n = 50"
50,-2.32792739459937,"n = 50"
50,3.32536651471379,"n = 50"
50,-1.03095871135324,"n = 50"
50,-0.423582493344616,"n = 50"
50,0.0479368513824428,"n = 50"
50,3.28724142543831,"n = 50"
50,-0.565939443881541,"n = 50"
50,-0.358040478766926,"n = 50"
50,2.34185646985365,"n = 50"
50,1.18854174288275,"n = 50"
50,1.23898941896261,"n = 50"
50,-0.244454022733461,"n = 50"
50,1.67398840003767,"n = 50"
50,0.259027779739308,"n = 50"
50,-2.26972555617711,"n = 50"
50,3.68113746457602,"n = 50"
50,-0.966736449889533,"n = 50"
50,0.301077574188051,"n = 50"
50,0.506211169305631,"n = 50"
50,-0.250593181902464,"n = 50"
50,-1.71517158707622,"n = 50"
50,0.907005449762934,"n = 50"
50,-1.66327628436369,"n = 50"
50,-0.924664096539714,"n = 50"
50,-0.834857922894126,"n = 50"
50,-1.4213386523668,"n = 50"
50,-0.356650365679656,"n = 50"
50,-1.77916865889078,"n = 50"
50,1.24603581129472,"n = 50"
50,-0.495079200329647,"n = 50"
50,0.225211324014023,"n = 50"
50,1.49712766584157,"n = 50"
50,-0.46256889448179,"n = 50"
50,-0.00429006855375511,"n = 50"
50,0.588203864269264,"n = 50"
50,-2.33830695130708,"n = 50"
50,-0.582772367474282,"n = 50"
50,1.08444463636514,"n = 50"
50,-0.147990482533488,"n = 50"
50,0.645515878894271,"n = 50"
50,-0.0157466229107218,"n = 50"
50,-0.0871722679425592,"n = 50"
50,-1.27427332148592,"n = 50"
50,-0.00285416983349578,"n = 50"
50,2.4226878260588,"n = 50"
50,-1.53060568656381,"n = 50"
50,-0.736648848006169,"n = 50"
50,-0.606782155348357,"n = 50"
50,-0.639418056365382,"n = 50"
50,-0.957572348160741,"n = 50"
50,0.680936757367468,"n = 50"
50,0.150640711115853,"n = 50"
50,0.79203715214439,"n = 50"
50,1.42688270847657,"n = 50"
50,0.740204331522399,"n = 50"
50,-0.0392548196772282,"n = 50"
50,-0.69451433295477,"n = 50"
50,1.3124995603245,"n = 50"
50,0.825709436813652,"n = 50"
50,0.860211843396406,"n = 50"
50,0.953797147587109,"n = 50"
50,1.03192202019923,"n = 50"
50,-1.16525146283058,"n = 50"
50,-0.440082857299522,"n = 50"
50,2.10317420838302,"n = 50"
50,-0.522372283703029,"n = 50"
50,-1.29882261095069,"n = 50"
50,-0.400293874785577,"n = 50"
50,-0.212398029259464,"n = 50"
50,-1.30558229925545,"n = 50"
50,1.49381302938318,"n = 50"
50,3.08226966972425,"n = 50"
50,1.00761948544951,"n = 50"
50,0.384571342271316,"n = 50"
50,0.310293908757327,"n = 50"
50,1.20404533761269,"n = 50"
50,0.699064340948046,"n = 50"
50,0.0831912077723289,"n = 50"
50,0.363799076630908,"n = 50"
50,-0.853542734803305,"n = 50"
50,-0.0362706868682869,"n = 50"
50,1.17945485722746,"n = 50"
50,-1.7263821915371,"n = 50"
50,0.323530926815181,"n = 50"
50,-0.45972614886017,"n = 50"
50,-1.47233161314353,"n = 50"
50,-0.448668864148917,"n = 50"
50,2.16852980989622,"n = 50"
50,-1.25831572048776,"n = 50"
50,1.11673303429802,"n = 50"
50,-2.01215701579909,"n = 50"
50,-1.04375982941955,"n = 50"
50,1.47662701819571,"n = 50"
50,-2.16168697302163,"n = 50"
50,0.36771559541396,"n = 50"
50,0.74733836987733,"n = 50"
50,0.919716565584297,"n = 50"
50,0.0204452594751047,"n = 50"
50,2.00236610880269,"n = 50"
50,-0.834675147954835,"n = 50"
50,-1.42631763575819,"n = 50"
50,-1.07827848811888,"n = 50"
